Device number,Model Name,Reference Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
,,DAYLIGHT OFF DELAY-1,minutes,,analogValue,presentValue,TRUE,4401,,Daylight Off Set-point Delay
,,DAYLIGHT OFF DELAY-2,minutes,,analogValue,presentValue,TRUE,4402,,Daylight Off Set-point Delay
,,DAYLIGHT ON SETPOINT-1,footCandles,,analogValue,presentValue,TRUE,4501,,Daylight On Set-point
,,DAYLIGHT ON SETPOINT-2,footCandles,,analogValue,presentValue,TRUE,4502,,Daylight On Set-point
,,DAYLIGHT OFF SETPOINT-1,footCandles,,analogValue,presentValue,TRUE,4601,,Daylight Off Set-point
,,DAYLIGHT OFF SETPOINT-2,footCandles,,analogValue,presentValue,TRUE,4602,,Daylight Off Set-point
,,RELAY-1,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,1,,Load 1
,,RELAY-2,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,2,,Load 2
,,RELAY-3,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,3,,Load 3
,,RELAY-4,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,4,,Load 4
,,RELAY-5,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,5,,Load 5
,,NORMAL/AFTER HOURS,Enum,0-1 (default []),binaryValue,presentValue,TRUE,1,,Normal/After Hours
,,SWITCH LOCK CONTROL,Enum,0-1 (default []),binaryValue,presentValue,TRUE,2,,Switch Keylock Control
,,ROOM OCCUPANCY STATUS,Enum,0-1 (default []),binaryValue,presentValue,TRUE,3,,Room Occupancy derived from Occupancy Sensors
,,ROOM FORCE ON,Enum,0-1 (default []),binaryValue,presentValue,TRUE,4,,Force room to full ON at high priority
,,ROOM FORCE OFF,Enum,0-1 (default []),binaryValue,presentValue,TRUE,5,,Force room to full OFF at high priority
,,SCENE-CONTROL,State,State count: 17 (default []),multiStateValue,presentValue,TRUE,1,,"1=SCENE-2, 2=SCENE-3, 3=SCENE-4, 4=SCENE-5, 5=SCENE-6, 6=SCENE-7, 7=SCENE-8, 8=SCENE-9, 9=SCENE-10, 10=SCENE-11, 11=SCENE-12, 12=SCENE-13, 13=SCENE-14, 14=SCENE-15, 15=SCENE-16, 16=SCENE-UNDEFINED"
,,LOAD-SHED-CONTROL,State,State count: 3 (default []),multiStateValue,presentValue,TRUE,2,,"1=Load Shed Override Allowed, 2=Load Shed Override Forbidden"
,,DEMAND-RESPONSE-CONTROL,State,State count: 4 (default []),multiStateValue,presentValue,TRUE,3,,"1=Medium, 2=High, 3=Special"
,,DEMAND-RESPONSE-SHED-MODE,State,State count: 3 (default []),multiStateValue,presentValue,TRUE,4,,"1=Load Shed Override Allowed, 2=Load Shed Override Forbidden"
,,DAYLIGHT OPERATING MODE-1,State,State count: 4 (default []),multiStateValue,presentValue,TRUE,4001,,"1=Bi-Level Mode, 2=Tri-Level Mode, 3=Dimming Mode"
,,DAYLIGHT OPERATING MODE-2,State,State count: 4 (default []),multiStateValue,presentValue,TRUE,4002,,"1=Bi-Level Mode, 2=Tri-Level Mode, 3=Dimming Mode"
,,DAYLIGHT OFF MULTIPLIER-1,State,State count: 4 (default []),multiStateValue,presentValue,TRUE,4101,,"1=1.50x, 2=1.75x, 3=2.00x"
,,DAYLIGHT OFF MULTIPLIER-2,State,State count: 4 (default []),multiStateValue,presentValue,TRUE,4102,,"1=1.50x, 2=1.75x, 3=2.00x"
